,Month,Passengers,naive_seasonal,ARIMA_pred
132,1960-01,417,360,422.33195676082255
133,1960-02,391,342,410.649878379205
134,1960-03,419,406,461.8396649160587
135,1960-04,461,396,457.79021891081754
136,1960-05,472,420,481.66417409311657
137,1960-06,535,472,531.0507191274407
138,1960-07,622,548,606.1452918466297
139,1960-08,606,559,615.4522092670296
140,1960-09,508,463,525.6290809776843
141,1960-10,461,407,467.1477020375598
142,1960-11,390,362,425.0658748773967
143,1960-12,432,405,467.344584872427
